ds,y
2023/5/7,3155
2023/5/14,4652
2023/5/21,5211
2023/5/28,6961
2023/6/4,7878
2023/6/11,7690
2023/6/18,8186
2023/6/25,9006
2023/7/2,9960
2023/7/9,10795
2023/7/16,12288
2023/7/23,14583
2023/7/30,15173
2023/8/6,13394
2023/8/13,14434
2023/8/20,19096
2023/8/27,22319
2023/9/3,21512
2023/9/10,21083
2023/9/17,11682
2023/9/24,9303
2023/10/1,4761
2023/10/8,3068
2023/10/15,2588
2023/10/22,2414
2023/10/29,1914
2023/11/5,1579
2023/11/12,1539
2023/11/19,1985
2023/11/26,2483
2023/12/3,3032
2023/12/10,3394
2023/12/17,4115
2023/12/24,4557
2023/12/31,4434
2024/1/7,7427
2024/1/14,10948
2024/1/21,14819
2024/1/28,14965
2024/2/4,12312
2024/2/11,9075
2024/2/18,6965
2024/2/25,6130
2024/3/3,5584
2024/3/10,4869
2024/3/17,4026
2024/3/24,4580
2024/3/31,3601
2024/4/7,3176
2024/4/14,3645
2024/4/21,3144
2024/4/28,1957
2024/5/5,2996
2024/5/12,3658
2024/5/19,3912
2024/5/26,4436
2024/6/2,5359
2024/6/9,5898
2024/6/16,6183
2024/6/23,7338
2024/6/30,9393
2024/7/7,9977
2024/7/14,11178
2024/7/21,11989
2024/7/28,9532
2024/8/4,7240
2024/8/11,4768
2024/8/18,6291
2024/8/25,6279
2024/9/1,6309
2024/9/8,5782
2024/9/15,5174
2024/9/22,4000
2024/9/29,3216
2024/10/6,2384
2024/10/13,1708
2024/10/20,1544
2024/10/27,1431
2024/11/3,1359
2024/11/10,1689
2024/11/17,1305
2024/11/24,1780
2024/12/1,2261
2024/12/8,2906
2024/12/15,4337
2024/12/22,5689
2024/12/29,1758
2025/1/5,4909
2025/1/12,3805
2025/1/19,4604
2025/1/26,4868
2025/2/2,4665
2025/2/9,4301
2025/2/16,4122
2025/2/23,3633
2025/3/2,3680
2025/3/9,3563
2025/3/16,3038
2025/3/23,2532
2025/3/30,1691
2025/4/6,1579
2025/4/13,1352
2025/4/20,1075
2025/4/27,806
2025/5/4,627
2025/5/11,891
2025/5/18,853
2025/5/25,1101
2025/6/1,1233
2025/6/8,1076
2025/6/15,1104
2025/6/22,1664
2025/6/29,2170
2025/7/6,2824
2025/7/13,3578
2025/7/20,4524
2025/7/27,5854
2025/8/3,6191
